deeplink     ;uuid                                  ;marketing loc                                                                                                         ;docs loc                                                                                                                                                                                              ;xml src                                                                                                                                                                                               ;md src                                                                                                                
             ;d857044b-926d-4862-b8bc-799cb3ecca56;https://marketing.adobe.com/resources/help/en_US/aam/admin/c_reporting.html                                           ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/reporting/admin-reporting-overview.html                                                                                     ;aam-admin-master/src-markdown/admin-reporting-overview.xml                                                                                                                                            ;help/admin/admin-reporting/admin-reporting-overview.md                                                                
             ;49488bd7-1bea-4863-ba98-73087a2bb6b2;https://marketing.adobe.com/resources/help/en_US/aam/admin/c_servers.html                                             ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/servers/admin-servers.html                                                                                                  ;aam-admin-master/src-markdown/admin-servers.xml                                                                                                                                                       ;help/admin/admin-servers/admin-servers.md                                                                             
x            ;d9a6bfb1-7629-44e0-b7d7-ece44f65ea2b;https://marketing.adobe.com/resources/help/en_US/aam/admin/create-edit-company-destinations.html                      ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-destinations.html;create-edit-company-destinations.xml                                                                                                                                                                  ;help/admin/companies/admin-manage-company-destinations.md                                                             
             ;9273abb2-963d-4d83-bf5a-b3817f0b90e6;https://marketing.adobe.com/resources/help/en_US/aam/admin/create-ftp-server.html                                     ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/servers/create-ftp-server.html                                                                                              ;aam-admin-master/src-markdown/create-ftp-server.xml                                                                                                                                                   ;help/admin/admin-servers/create-ftp-server.md                                                                         
             ;1ef0e751-e239-4dc6-a4f6-73cc05686807;https://marketing.adobe.com/resources/help/en_US/aam/admin/create-http-server.html                                    ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/servers/create-http-server.html                                                                                             ;aam-admin-master/src-markdown/create-http-server.xml                                                                                                                                                  ;help/admin/admin-servers/create-http-server.md                                                                        
             ;94fee787-eb26-45aa-b602-d61ab12969ea;https://marketing.adobe.com/resources/help/en_US/aam/admin/create-s3-server.html;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/servers/create-s3-server.html;aam-admin-master/src-markdown/create-s3-server.xml;help/admin/admin-servers/create-s3-server.md
x            ;d9a6bfb1-7629-44e0-b7d7-ece44f65ea2b;https://marketing.adobe.com/resources/help/en_US/aam/admin/delete-company-destinations.html                           ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-destinations.html#delete-company-destinations;delete-company-destinations.xml                                                                                                                                                                       ;help/admin/companies/admin-manage-company-destinations.md                                                             
             ;301985b1-5ff6-4112-a353-2e5a97e7eec0;https://marketing.adobe.com/resources/help/en_US/aam/admin/enable-outbound-seq.html                                   ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/enable-outbound-seq.html                                                                                            ;aam-admin-master/src-markdown/enable-outbound-seq.xml                                                                                                                                                 ;help/admin/formats/enable-outbound-seq.md                                                                             
             ;f00d431d-7e43-457a-b633-c79cbc4c8f10;https://marketing.adobe.com/resources/help/en_US/aam/admin/file-format-examples.html;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/file-format-examples.html                                                                                           ;                                                                                                                                                                                                      ;help/admin/formats/file-format-examples.md                                                                            
             ;f91c91b6-6581-4ed7-8d7f-f8532bd41df9;https://marketing.adobe.com/resources/help/en_US/aam/admin/file-formats.html                                          ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/file-formats.html                                                                                                   ;aam-admin-master/src-markdown/file-formats.xml                                                                                                                                                        ;help/admin/formats/file-formats.md                                                                                    
             ;ec80ac49-6ec5-4cd4-a881-a05240675c00;https://marketing.adobe.com/resources/help/en_US/aam/admin/formats.html                                               ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/formats.html                                                                                                        ;aam-admin-master/src-markdown/formats.xml                                                                                                                                                             ;help/admin/formats/formats.md                                                                                         
             ;a2b4a385-eee3-458c-b978-09509cacb397;https://marketing.adobe.com/resources/help/en_US/aam/admin/outbound-active-user-filter.html                           ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/outbound-active-user-filter.html                                                                                  ;aam-admin-master/src-markdown/outbound-active-user-filter.xml                                                                                                                                         ;help/admin/companies/outbound-active-user-filter.md                                                                   
             ;261494ab-74e6-4465-b599-7a3e9c39e1e6;https://marketing.adobe.com/resources/help/en_US/aam/admin/request-functional-admin-access.html                       ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-access.html                                                                                                           ;aam-admin-master/src-markdown/admin-access.xml                                                                                                                                                        ;help/admin/admin-access.md                                                                                            
x            ;261494ab-74e6-4465-b599-7a3e9c39e1e6;https://marketing.adobe.com/resources/help/en_US/aam/admin/request-functional-admin-access.html                       ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-access.html;request-functional-admin-access.xml                                                                                                                                                                   ;help/admin/admin-access.md                                                                                            
             ;04080fb9-6c7b-4de7-960e-54482be2de83;https://marketing.adobe.com/resources/help/en_US/aam/admin/set-up-destinations-mcid-aamid.html                        ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-destination-troubleshooting.html                                                                                      ;                                                                                                                                                                                                      ;help/admin/admin-destination-troubleshooting.md                                                                       
x            ;ccaa611d-c855-484e-9696-081d9b4e0935;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_change_password.html                                     ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-my-profile.html#change-password;t_change_password.xml                                                                                                                                                                                 ;help/admin/admin-my-profile.md                                                                                        
             ;d9a6bfb1-7629-44e0-b7d7-ece44f65ea2b;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_company_destinations.html                                ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-destinations.html                                                                            ;aam-admin-master/src-markdown/admin-manage-company-destinations.xml                                                                                                                                   ;help/admin/companies/admin-manage-company-destinations.md                                                             
             ;67a19fb2-8322-47ce-afa4-f6b78c52f814;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_company_limits.html                                      ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-company-limits.html                                                                                         ;aam-admin-master/src-markdown/admin-company-limits.xml                                                                                                                                                ;help/admin/companies/admin-company-limits.md                                                                          
x            ;7dfcac5e-5502-4701-97f4-ae8015c3f0a6;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_containers.html                                          ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-containers.html;t_containers.xml                                                                                                                                                                                      ;help/admin/companies/admin-manage-containers.md                                                                       
x            ;55de18f8-883d-43fe-b37f-e8805bb92f7a;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_create_company.html                                      ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-profiles.html;t_create_company.xml                                                                                                                                                                                  ;help/admin/companies/admin-manage-company-profiles.md                                                                 
             ;3e654053-fb2f-4d8f-a53c-b5c3b8dbdaaa;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_create_edit_auth.html                                    ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/oath2-clients/admin-oauth2-create-edit.html;aam-admin-master/src-markdown/admin-oauth2-create-edit.xml;help/admin/admin-oauth2/admin-oauth2-create-edit.md
             ;ca1b1feb-bcd3-4a41-b1e8-80565f6c23ae;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_create_format.html                                       ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/admin-create-format.html                                                                                            ;aam-admin-master/src-markdown/admin-create-format.xml                                                                                                                                                 ;help/admin/formats/admin-create-format.md                                                                             
x            ;13dcb3fb-4561-409c-84da-943d0d390cf3;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_create_user.html                                         ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-manage-integration-users.html#create-edit-user;t_create_user.xml                                                                                                                                                                                     ;help/admin/admin-manage-integration-users.md                                                                          
x            ;55de18f8-883d-43fe-b37f-e8805bb92f7a;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_delete_company.html                                      ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-profiles.html#delete-company-profile;t_delete_company.xml                                                                                                                                                                                  ;help/admin/companies/admin-manage-company-profiles.md                                                                 
             ;21d8feeb-a205-43bb-9bc1-9048c918a80a;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_delete_server.html                                       ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/servers/admin-delete-server.html                                                                                            ;aam-admin-master/src-markdown/admin-delete-server.xml                                                                                                                                                 ;help/admin/admin-servers/admin-delete-server.md                                                                       
             ;13dcb3fb-4561-409c-84da-943d0d390cf3;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_delete_user.html                                         ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-manage-integration-users.html#delete-user;aam-admin-master/src-markdown/admin-manage-integration-users.xml                                                                                                                                      ;help/admin/admin-manage-integration-users.md                                                                          
             ;55de18f8-883d-43fe-b37f-e8805bb92f7a;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_edit_company_profile.html                                ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-profiles.html#edit-company-profile;                                                                                                                                                                                                      ;help/admin/companies/admin-manage-company-profiles.md                                                                 
             ;ccaa611d-c855-484e-9696-081d9b4e0935;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_edit_profile.html                                        ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-my-profile.html#edit-profile;aam-admin-master/src-markdown/admin-my-profile.xml                                                                                                                                                    ;help/admin/admin-my-profile.md                                                                                        
             ;222890cb-2ebd-4e16-a516-51000891ed34;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_first_party_providers.html                               ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-first-party-providers.html                                                                                  ;aam-admin-master/src-markdown/admin-first-party-providers.xml                                                                                                                                         ;help/admin/companies/admin-first-party-providers.md                                                                   
             ;9ba84a90-e596-4aca-9bf7-f7dcf5c1cca5;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_login.html                                               ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/admin-login.html                                                                                                            ;aam-admin-master/src-markdown/admin-login.xml                                                                                                                                                         ;help/admin/admin-login.md                                                                                             
             ;32c8a4e1-c29c-44d2-8cd4-f4f1be707492;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_manage_company_users.html                                ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-manage-company-users.html                                                                                   ;aam-admin-master/src-markdown/admin-manage-company-users.xml                                                                                                                                          ;help/admin/companies/admin-manage-company-users.md                                                                    
             ;aa2cc6b5-6467-48ba-9367-0be6fde6a883;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_tabeau.html                                              ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/reporting/admin-assign-tableau-user.html                                                                                    ;aam-admin-master/src-markdown/admin-assign-tableau-user.xml                                                                                                                                           ;help/admin/admin-reporting/admin-assign-tableau-user.md                                                               
             ;e41dc7b2-8b06-4e81-9b3b-0f70e2fd3275;https://marketing.adobe.com/resources/help/en_US/aam/admin/t_third_party_providers.html;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/companies/admin-third-party-providers.html                                                                                  ;aam-admin-master/src-markdown/admin-third-party-providers.xml                                                                                                                                         ;help/admin/companies/admin-third-party-providers.md                                                                   
             ;a81a2e2a-de7e-4b6a-8771-fcfa0dc74570;https://marketing.adobe.com/resources/help/en_US/aam/admin/web-format-examples.html                                   ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/web-format-examples.html                                                                                            ;aam-admin-master/src-markdown/web-format-examples.xml                                                                                                                                                 ;help/admin/formats/web-format-examples.md                                                                             
             ;91021f60-75d0-4b1d-86ca-91c9dadafac1;https://marketing.adobe.com/resources/help/en_US/aam/admin/web-formats.html                                           ;https://docs.adobe.com/content/help/en/audience-manager-admin/admin-guide/formats/web-formats.html                                                                                                    ;aam-admin-master/src-markdown/web-formats.xml                                                                                                                                                         ;help/admin/formats/web-formats.md                                                                                     
deeplink     ;uuid                                  ;marketing loc                                                                                                         ;docs loc                                                                                                                                                                                              ;xml src                                                                                                                                                                                               ;md src                                                                                                                
